Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Al
0.0,0.0,0.22,0.0,2.49,0.0,7.11,0.0,0.0,0.4,0.0,0.0,0.0,0.22,0.0,89.56
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,87.7013
0.026,0.072,1.64,0.0,1.59,0.0,7.8,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,88.732
0.5,0.5,0.75,0.25,2.7,0.2,4.9,0.0,0.1,0.0,0.0,0.0,0.0075,0.0,0.0,90.0925
0.9,0.25,0.55,0.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8
0.1,0.24,4.64,0.61,1.61,0.1,0.2,0.0,0.05,0.1,0.0,0.05,0.0,0.0,0.0,92.3
0.9,1.0,4.0,0.2,1.5,1.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,89.15
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,92.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,99.1
0.0,0.0,8.0,0.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,85.0
0.8,0.175,0.1,0.15,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.15
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,0.0,95.45
1.1,0.25,0.1,0.75,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.85
0.365,0.25,0.1,0.03,0.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.68
0.04,0.07,1.19,0.0,2.42,0.04,6.9,0.0,0.04,0.08,0.0,0.0,0.002,0.0,0.0,89.218
0.35,0.4,0.275,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.275
0.0,0.0,5.3,0.3,0.8,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.2,93.25
0.0,0.0,6.45,0.29,0.65,0.0,0.0,0.0,0.09,0.14,0.0,0.0,0.0,0.0,0.46,91.87
0.25,0.35,1.55,0.2,2.45,0.16,7.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,87.24
0.0,0.0,1.2,0.0,2.0,0.0,0.0,0.0,0.0,0.12,2.5,0.0,0.0,0.0,0.0,94.18
0.05,0.1,4.57,0.61,1.34,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,93.23
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,98.075
0.0,0.0,4.4,0.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5
0.29,0.42,4.2,0.63,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2
0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,89.33
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,92.05
0.55,0.2,0.275,0.275,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.85
0.6,0.35,0.5,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4
0.45,0.35,0.25,0.125,0.6,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.925
0.0,0.0,4.6,0.35,0.35,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.7,91.5
1.0,0.1,0.9,0.55,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.55
0.6,0.35,0.275,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.625
0.05,0.05,5.14,0.27,0.46,0.18,0.0,0.0,0.08,0.13,0.0,0.0,0.0,0.0,0.42,93.22
1.0,0.35,0.35,0.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8
0.9,0.25,0.1,0.275,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.675
0.9,0.5,0.35,0.2,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.425
0.05,0.05,0.98,0.32,1.45,0.0,2.88,0.0,0.0,0.11,1.81,0.0,0.0,0.0,0.0,92.35
0.0,0.0,0.0,0.35,1.98,0.0,5.42,0.0,0.0,0.12,0.0,0.0,0.0,0.24,0.0,91.89
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,92.15
0.04,0.06,1.39,0.0,2.61,0.12,7.11,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,88.64
