Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred,Target_UTS,AbsError
0.000000,0.000000,6.790808,0.000000,2.731153,0.000000,5.705934,0.000000,0.064768,0.100988,0.000000,0.000000,0.000000,0.172430,0.000000,0.000000,0.000000,84.433920,433.378160,106.439507,7.879889,597.088013,600.000000,2.911987
0.000000,0.000000,6.983422,0.000000,2.917626,0.000000,5.959833,0.000000,0.048561,0.113583,0.000000,0.000000,0.000000,0.155749,0.000000,0.000000,0.000000,83.821227,436.497200,117.242974,9.136130,597.086975,600.000000,2.913025
0.000000,0.000000,6.811684,0.000000,2.603505,0.000000,6.066705,0.000000,0.047071,0.130585,0.000000,0.000000,0.000000,0.152051,0.000000,0.000000,0.000000,84.188400,420.011389,91.910696,9.101062,597.017212,600.000000,2.982788
0.000000,0.000000,7.093717,0.000000,3.126528,0.000000,5.833093,0.000000,0.045105,0.107421,0.000000,0.000000,0.000000,0.170875,0.000000,0.000000,0.000000,83.623261,441.527276,119.683732,6.934566,596.978638,600.000000,3.021362
0.000000,0.000000,6.823684,0.000000,2.685234,0.000000,5.787668,0.000000,0.060827,0.099424,0.000000,0.000000,0.000000,0.155141,0.000000,0.000000,0.000000,84.388021,435.226664,106.078380,7.053589,596.922363,600.000000,3.077637
0.000000,0.000000,6.407941,0.000000,2.600495,0.000000,5.964778,0.000000,0.048354,0.112355,0.000000,0.000000,0.000000,0.167407,0.000000,0.000000,0.000000,84.698670,454.364606,117.092108,8.736076,596.918823,600.000000,3.081177
0.000000,0.000000,6.756194,0.000000,2.576608,0.000000,5.952344,0.000000,0.050206,0.100555,0.000000,0.000000,0.000000,0.184894,0.000000,0.000000,0.000000,84.379198,434.527465,117.082088,6.795197,596.823059,600.000000,3.176941
0.000000,0.000000,6.744977,0.000000,2.816372,0.000000,5.949483,0.000000,0.059594,0.110362,0.000000,0.000000,0.000000,0.182829,0.000000,0.000000,0.000000,84.136384,439.058540,116.910962,8.331624,596.720947,600.000000,3.279053
0.000000,0.000000,6.830281,0.000000,2.651469,0.000000,5.945171,0.000000,0.056230,0.113970,0.000000,0.000000,0.000000,0.178643,0.000000,0.000000,0.000000,84.224237,432.713686,117.016660,8.343726,596.720947,600.000000,3.279053
0.000000,0.000000,6.657126,0.000000,2.605552,0.000000,5.603463,0.000000,0.040479,0.139517,0.000000,0.000000,0.000000,0.181168,0.000000,0.000000,0.000000,84.772696,441.747482,130.586154,10.748443,603.335327,600.000000,3.335327
0.000000,0.000000,6.910825,0.000000,2.526251,0.000000,6.400228,0.000000,0.049253,0.101805,0.000000,0.000000,0.000000,0.156720,0.000000,0.000000,0.000000,83.854917,425.551731,107.779895,9.037879,603.335510,600.000000,3.335510
0.000000,0.000000,6.997304,0.000000,3.186201,0.000000,5.938755,0.000000,0.052510,0.105027,0.000000,0.000000,0.000000,0.170203,0.000000,0.000000,0.000000,83.550000,446.269120,107.446242,9.172723,596.642090,600.000000,3.357910
0.000000,0.000000,5.817437,0.000000,2.582190,0.000000,5.957518,0.000000,0.048460,0.113806,0.000000,0.000000,0.000000,0.167281,0.000000,0.000000,0.000000,85.313309,431.006023,89.812896,9.161977,596.634460,600.000000,3.365540
0.000000,0.000000,7.071849,0.000000,2.784079,0.000000,5.947612,0.000000,0.051857,0.109610,0.000000,0.000000,0.000000,0.168407,0.000000,0.000000,0.000000,83.866587,452.347743,111.604614,6.978182,596.534912,600.000000,3.465088
0.000000,0.000000,7.760998,0.000000,2.469741,0.000000,5.656555,0.000000,0.034240,0.124705,0.000000,0.000000,0.000000,0.149336,0.000000,0.000000,0.000000,83.804426,456.806127,116.625833,8.876055,596.489075,600.000000,3.510925
0.000000,0.000000,7.034228,0.000000,2.583430,0.000000,5.895590,0.000000,0.049780,0.083834,0.000000,0.000000,0.000000,0.171073,0.000000,0.000000,0.000000,84.182065,436.888956,129.006715,9.573676,603.529785,600.000000,3.529785
0.000000,0.000000,6.884839,0.000000,2.613357,0.000000,5.947837,0.000000,0.052831,0.097007,0.000000,0.000000,0.000000,0.188905,0.000000,0.000000,0.000000,84.215223,437.996414,105.587069,10.008113,596.462524,600.000000,3.537476
